iter	MultiClass
0	0.647946051
1	0.6104463296
2	0.5782799356
3	0.5520028933
4	0.5302940759
5	0.5102520597
6	0.493705274
7	0.4800783378
8	0.4677037434
9	0.4568537
10	0.4466440811
11	0.4378292212
12	0.4299399626
13	0.4234966617
14	0.4171648542
15	0.4125595789
16	0.407636394
17	0.4023921455
18	0.3975315163
19	0.3935248157
20	0.3901683776
21	0.386863572
22	0.3841551229
23	0.3810594053
24	0.3787029752
25	0.3762320832
26	0.3737889196
27	0.3717418544
28	0.3698261709
29	0.3674918723
30	0.3654738888
31	0.3631191443
32	0.361368573
33	0.3594075328
34	0.3579902128
35	0.3561693452
36	0.3547615611
37	0.3536030752
38	0.3525656368
39	0.3509937142
40	0.3502399481
41	0.3492690566
42	0.3481443446
43	0.3472129181
44	0.3463007941
45	0.3454348506
46	0.3447847316
47	0.3440908876
48	0.3433584616
49	0.3426175888
50	0.3420447775
51	0.3415889602
52	0.340482167
53	0.3393840016
54	0.3386357656
55	0.3375757471
56	0.3370053131
57	0.3362726234
58	0.3357820865
59	0.3352953779
60	0.3348644177
61	0.3345397182
62	0.3338352204
63	0.3330903787
64	0.3324966036
65	0.3319862076
66	0.3314465486
67	0.3310242333
68	0.3304731914
69	0.3300387652
70	0.3294982925
71	0.3291657573
72	0.3284903923
73	0.3280793661
74	0.3278173172
75	0.3272624481
76	0.3267994115
77	0.3263939136
78	0.3260937393
79	0.3258947854
80	0.325553313
81	0.3252578448
82	0.3249023324
83	0.3245051742
84	0.3239775863
85	0.3236165059
86	0.3233094797
87	0.3229662552
88	0.3227563564
89	0.322556197
90	0.3220126958
91	0.3217861793
92	0.321334104
93	0.3211614809
94	0.3209300434
95	0.3206087145
96	0.3203689644
97	0.3201118955
98	0.3196029654
99	0.3193348099
100	0.3190838274
101	0.3188291067
102	0.3184774127
103	0.3181299195
104	0.3179423101
105	0.3177282633
106	0.3175255027
107	0.317224163
108	0.3170366969
109	0.3168387274
110	0.3165059345
111	0.3162126111
112	0.3159284342
113	0.315710759
114	0.3154532038
115	0.3152783782
116	0.3150015177
117	0.3146332644
118	0.3143712828
119	0.3140854553
120	0.3138496995
121	0.3136228073
122	0.3133593977
123	0.313241057
124	0.3131033653
125	0.3128837035
126	0.3126746684
127	0.3124531475
128	0.3122777367
129	0.3120835625
130	0.3119127132
131	0.3115196607
132	0.311409465
133	0.3111363045
134	0.3109009775
135	0.3106758546
136	0.3104368547
137	0.31012689
138	0.3098942607
139	0.3097296498
140	0.3094949773
141	0.3091920745
142	0.3090154468
143	0.3089380265
144	0.3086568275
145	0.3084930888
146	0.3083489893
147	0.3081986268
148	0.3079922129
149	0.3077904987
150	0.3074329031
151	0.3070939538
152	0.30681511
153	0.3066007864
154	0.3064202422
155	0.3061665462
156	0.3058321659
157	0.3056737873
158	0.3054895529
159	0.3053577335
160	0.3050056125
161	0.3048395701
162	0.3047550112
163	0.3045706272
164	0.3043492181
165	0.3042328396
166	0.3040051204
167	0.3038330403
168	0.3037105655
169	0.3035115571
170	0.3034283016
171	0.303308185
172	0.3031342311
173	0.3029513534
174	0.3028401405
175	0.3027324979
176	0.3026167107
177	0.3025160947
178	0.3023892892
179	0.3022020153
180	0.3020898392
181	0.3019874235
182	0.3018923135
183	0.3017784262
184	0.3014796223
185	0.3013668606
186	0.3012335311
187	0.3010969263
188	0.3008665061
189	0.3006805464
190	0.3004628426
191	0.3003577619
192	0.3000843827
193	0.3000178914
194	0.2998855291
195	0.299755824
196	0.2995927532
197	0.2993850086
198	0.299241233
199	0.2991474767
