iter	Passed	Remaining
0	3	753
1	6	666
2	9	644
3	13	660
4	16	649
5	19	634
6	22	620
7	25	607
8	29	622
9	33	643
10	37	642
11	41	643
12	46	665
13	50	665
14	53	661
15	57	657
16	60	656
17	64	652
18	67	647
19	71	647
20	76	653
21	79	647
22	83	640
23	86	632
24	89	626
25	92	621
26	95	614
27	98	606
28	101	599
29	104	594
30	108	590
31	111	585
32	114	579
33	118	577
34	121	574
35	125	570
36	128	565
37	132	563
38	135	558
39	138	555
40	141	550
41	145	546
42	148	540
43	151	536
44	154	531
45	157	526
46	161	525
47	164	521
48	168	517
49	171	514
50	175	512
51	178	507
52	182	504
53	185	502
54	189	499
55	193	496
56	196	492
57	199	489
58	203	485
59	206	481
60	209	476
61	212	472
62	215	469
63	219	465
64	222	461
65	225	457
66	228	454
67	232	451
68	235	447
69	238	443
70	241	439
71	245	435
72	248	431
73	251	427
74	254	423
75	257	419
76	260	416
77	264	413
78	267	409
79	270	405
80	273	401
81	276	398
82	279	394
83	282	390
84	285	386
85	289	383
86	293	381
87	297	378
88	300	375
89	306	374
90	311	372
91	315	370
92	319	367
93	333	375
94	336	372
95	340	368
96	343	364
97	346	361
98	350	357
99	354	354
100	357	350
101	360	346
102	363	342
103	366	338
104	369	334
105	372	330
106	375	326
107	380	323
108	385	321
109	389	318
110	394	316
111	398	312
112	402	309
113	405	305
114	408	301
115	410	297
116	413	293
117	417	290
118	420	286
119	422	281
120	425	277
121	428	273
122	431	270
123	434	266
124	437	262
125	440	258
126	443	254
127	445	250
128	449	247
129	452	243
130	454	239
131	457	235
132	460	231
133	464	228
134	468	225
135	470	221
136	473	217
137	476	213
138	479	210
139	482	206
140	485	203
141	488	199
142	490	195
143	493	192
144	496	188
145	499	184
146	502	181
147	505	177
148	508	173
149	511	170
150	514	166
151	517	163
152	519	159
153	523	156
154	526	152
155	529	149
156	532	145
157	534	142
158	537	138
159	540	135
160	543	131
161	546	128
162	549	124
163	552	121
164	555	117
165	558	114
166	561	111
167	565	107
168	568	104
169	571	100
170	575	97
171	578	94
172	587	91
173	601	89
174	618	88
175	633	86
176	639	83
177	643	79
178	647	75
179	650	72
180	653	68
181	657	65
182	661	61
183	664	57
184	667	54
185	670	50
186	673	46
187	676	43
188	679	39
189	683	35
190	686	32
191	689	28
192	691	25
193	694	21
194	697	17
195	700	14
196	702	10
197	705	7
198	708	3
199	710	0
